Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.47434840386694E-18,2.55179282232552E-16,3.93671223977149E-18,0,0,0,12.3505861948935,0.0552925091791178,3.99354699393272E-17,1.46933120049119E-18,0.0745145490897858,-1.5469933898811E-16,0.116976664044279,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/base_link.STL,,BODY-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg11,2.95448046390318E-16,-0.00470579917560623,-0.00370298925443703,0,0,0,0.301356841667992,0.00031237713005535,-1.77171841844848E-21,4.36892705019405E-21,0.000278224679930442,2.3669794651681E-05,0.00020168338836961,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg11.STL,,HIP-1,Origin_joint11,Axis_joint11,joint11,revolute,0.181,0.08,0,1.5707963267949,-1.5707963267949,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
leg12,0.0198293844099956,-3.88578058618805E-16,0.0951546393000447,0,0,0,0.474545008687657,0.000744145654837156,-2.60208521396521E-18,0.00029316314313376,0.00125402292613774,3.76800735105758E-18,0.000758753104643996,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg12.STL,,HIGHER_LEG-1,Origin_joint12,Axis_joint12,joint12,revolute,0,0,0,0,0,-2.03979862619672,leg11,0,0,1,0,0,0,0,,,,,,,,
leg13,0.0855858745347819,-3.47361722718986E-12,0.00239181473428293,0,0,0,0.159809533603717,2.46241000038277E-05,2.07300751339638E-14,2.33176643663368E-15,0.000776569136241325,-1.97402718491934E-15,0.000786083790666802,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg13.STL,,LOWER_LEG-1,Origin_joint13,Axis_joint13,joint13,revolute,0.126,0,0.0586081852654754,0,0,-1.76132598286924,leg12,0,0,1,0,0,0,0,,,,,,,,
leg21,-2.8862325545824E-16,0.00470579917560623,-0.00370298925443702,0,0,0,0.301356841667992,0.00031237713005535,3.67477668401388E-21,4.30189265200411E-22,0.000278224679930441,-2.3669794651681E-05,0.00020168338836961,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg21.STL,,HIP-2,Origin_joint21,Axis_joint21,joint21,revolute,0.181,-0.08,0,1.5707963267949,-1.5707963267949,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
leg22,0.0198293844099959,-4.02455846426619E-16,0.0951546393000447,0,0,0,0.474545008687657,0.000744145654837156,-2.65629532258949E-18,0.00029316314313376,0.00125402292613774,3.75445482390152E-18,0.000758753104643997,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg22.STL,,HIGHER_LEG-2,Origin_joint22,Axis_joint22,joint22,revolute,0,0,0,0,0,2.03979862619672,leg21,0,0,1,0,0,0,0,,,,,,,,
leg23,0.0855858745347818,3.47364498276548E-12,-0.00239154065477623,0,0,0,0.159809533603717,2.46241000038276E-05,-2.07298049304536E-14,-2.33192604336374E-15,0.000776569136241325,-1.97403006343245E-15,0.000786083790666803,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg23.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg23.STL,,LOWER_LEG-2,Origin_joint23,Axis_joint23,joint23,revolute,0.126,0,0.0633915406550179,0,0,1.76132598286924,leg22,0,0,1,0,0,0,0,,,,,,,,
leg31,2.73636611246907E-16,0.00470579917560623,-0.00370298925443699,0,0,0,0.301356841667992,0.000312377130055351,-5.50892832644609E-21,2.67247408541473E-21,0.000278224679930442,-2.3669794651681E-05,0.00020168338836961,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg31.STL,,HIP-3,Origin_joint31,Axis_joint31,joint31,revolute,-0.181,0.0799999999999998,0,1.5707963267949,-1.5707963267949,0,base_link,0,1,0,0,0,0,0,,,,,,,,
leg32,0.019829384409996,-2.22044604925031E-16,0.0951546393000443,0,0,0,0.474545008687657,0.000744145654837155,-1.84314369322536E-18,0.000293163143133759,0.00125402292613774,3.01185729608304E-18,0.000758753104643996,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg32.STL,,HIGHER_LEG-3,Origin_joint32,Axis_joint32,joint32,revolute,0,0,0,0,0,-2.03979862619672,leg31,0,0,1,0,0,0,0,,,,,,,,
leg33,0.0855858745347819,-3.47366579944719E-12,-2.41501263431587E-13,0,0,0,0.159809533603718,2.46241000038278E-05,2.07305943651604E-14,2.33025330632682E-15,0.000776569136241325,-1.97400249884394E-15,0.000786083790666803,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg33.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplified_model.SLDASM/meshes/leg33.STL,,LOWER_LEG-3,Origin_joint33,Axis_joint33,joint33,revolute,0.126,0,0.0609999999999996,0,0,-1.76132598286924,leg32,0,0,1,0,0,0,0,,,,,,,,
